DSU,N,E,ipf,ssf,shuffle,Score,Score Error
Adaptive2/squashing:global_data_read_write_per_op,1000000,8000000,0.02,0.2,true,0.000,0.000
Adaptive2/squashing:this_node_read_success_per_op,1000000,8000000,0.02,0.2,true,0.347,0.006
Adaptive2/squashing:cross_node_write_per_op,1000000,8000000,0.02,0.2,true,0.001,0.000
Adaptive2/squashing:this_node_write,1000000,8000000,0.02,0.2,true,2545629.667,180436.920
Adaptive2/squashing:this_node_write_per_op,1000000,8000000,0.02,0.2,true,0.212,0.015
Adaptive2/squashing:requests,1000000,8000000,0.02,0.2,true,12000484.500,1374.236
Adaptive2/squashing:same_set_requests_true,1000000,8000000,0.02,0.2,true,1750897.833,647.434
Adaptive2/squashing:global_data_read_write,1000000,8000000,0.02,0.2,true,0.000,0.000
Adaptive2/squashing:same_set_requests_false,1000000,8000000,0.02,0.2,true,249650.667,731.325
Adaptive2/squashing:this_node_read_success,1000000,8000000,0.02,0.2,true,4162771.000,68899.584
Adaptive2/squashing:hist_begin,1000000,8000000,0.02,0.2,true,504,0
Adaptive2/squashing:hist_end,1000000,8000000,0.02,0.2,true,540,0
Adaptive3/squashing,1000000,8000000,0.02,0.2,true,1414306.589,223148.945
Adaptive3/squashing:this_node_read,1000000,8000000,0.02,0.2,true,45983492.833,684613.620
Adaptive3/squashing:union_requests,1000000,8000000,0.02,0.2,true,9999936.000,0.000
Adaptive3/squashing:this_node_read_per_op,1000000,8000000,0.02,0.2,true,3.832,0.057
Adaptive3/squashing:same_set_requests,1000000,8000000,0.02,0.2,true,2000548.500,1374.236
Adaptive3/squashing:cross_node_write,1000000,8000000,0.02,0.2,true,17108.500,92.362
Adaptive3/squashing:cross_node_read_per_op,1000000,8000000,0.02,0.2,true,0.153,0.004
Adaptive3/squashing:cross_node_read,1000000,8000000,0.02,0.2,true,1838970.833,52016.560
Adaptive3/squashing:global_data_read_write_per_op,1000000,8000000,0.02,0.2,true,0.000,0.000
Adaptive3/squashing:this_node_read_success_per_op,1000000,8000000,0.02,0.2,true,0.820,0.013
Adaptive3/squashing:cross_node_write_per_op,1000000,8000000,0.02,0.2,true,0.001,0.000
Adaptive3/squashing:this_node_write,1000000,8000000,0.02,0.2,true,2598916.167,342629.244
Adaptive3/squashing:this_node_write_per_op,1000000,8000000,0.02,0.2,true,0.217,0.029
Adaptive3/squashing:requests,1000000,8000000,0.02,0.2,true,12000484.500,1374.236
Adaptive3/squashing:same_set_requests_true,1000000,8000000,0.02,0.2,true,1751197.667,190.922
